datum;wahl;ags;gebiet-nr;gebiet-name;max-schnellmeldungen;anz-schnellmeldungen;A1;A2;A3;A;B;B1;C;D;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10
19.03.2023;Oberbürgermeisterwahl;6411000;500;00500 - Astrid-Lindgren-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;510;00510 - Astrid-Lindgren-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;521;00521 - Wilhelm-Busch-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;522;00522 - Wilhelm-Busch-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;530;00530 - Freiwillige Feuerwehr DA-Arheilgen;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;540;00540 - Ludwig-Georgs-Gymnasium;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;550;00550 - Ludwig-Georgs-Gymnasium;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;560;00560 - Ludwig-Georgs-Gymnasium;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;570;00570 - Heinrich-Hoffmann-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;580;00580 - Heinrich-Hoffmann-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;600;00600 - Georg-Büchner-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;610;00610 - Alice-Eleonoren-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;620;00620 - Lichtenbergschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;630;00630 - Herderschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;640;00640 - Herderschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;650;00650 - Lichtenbergschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;660;00660 - Herderschule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;680;00680 - Mornewegschule (Schulcontainer);1;1;;;;;;;;4;23;22;3;1;1;111;56;4;123;5
19.03.2023;Oberbürgermeisterwahl;6411000;690;00690 - Mornewegschule (Schulcontainer);1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;710;00710 - Georg-Moller-Haus;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;720;00720 - Mornewegschule (Schulcontainer);1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;730;00730 - Heinrich-Heine-Schule;1;0;;;;;;;;;;;;;;;;;;
19.03.2023;Oberbürgermeisterwahl;6411000;750;00750 - Heinrich-Heine-Schule;1;0;;;;;;;;;;;;;;;;;;
